CompanyNumber,final_news_score,sentiment_direction
13449794,,neutral
12700230,,neutral
SC597195,,neutral
2914737,,neutral
9859321,,neutral
10701176,,neutral
5362478,,neutral
11010322,,neutral
12473312,,neutral
11831443,,neutral
15615324,,neutral
11936294,,neutral
14185284,,neutral
2260477,,neutral
12589899,,neutral
8210109,,neutral
10380269,,positive
6218061,,neutral
2619819,,neutral
12728025,,neutral
15204632,,neutral
9952917,,neutral
4420467,,neutral
14241406,,neutral
15207777,,neutral
12079128,,neutral
1234498,,neutral
SC716452,,neutral
10274633,,neutral
14674692,,neutral
14515225,,neutral
10570514,,neutral
15815438,,neutral
14305546,,neutral
12861061,,neutral
6135678,,neutral
SC297661,,neutral
15792495,,neutral
14700736,,neutral
8198957,,neutral
1767000,,neutral
8168855,,neutral
10094094,,neutral
12244605,,neutral
4627293,,neutral
8011676,,neutral
14699080,,neutral
13683431,,neutral
6964079,,neutral
1091662,,neutral
15325738,,neutral
14271382,,neutral
674129,,neutral
1082080,,neutral
14840346,20.388078376419426,positive
SC665941,,neutral
12863632,,neutral
15370949,,neutral
10176477,,neutral
14990438,,neutral
11263888,,neutral
SC337622,,neutral
10564968,,neutral
13631263,,neutral
7384367,,neutral
1897238,,neutral
11726901,,neutral
7113512,,neutral
7545254,,neutral
10980218,,neutral
6285142,,neutral
15628768,,neutral
10048112,,neutral
13249926,,neutral
SC257060,,neutral
10491386,,neutral
7768721,,neutral
5749736,,neutral
9486511,,neutral
13949482,,neutral
14517204,,neutral
12214067,,neutral
4712772,,neutral
3401535,,neutral
12349163,,neutral
12348202,,neutral
7245259,,neutral
10296849,,neutral
15821922,,neutral
9094403,,neutral
11011623,,neutral
3318301,,neutral
14972475,,neutral
15413846,,neutral
15447252,22.197444784456355,positive
11955435,,neutral
9545112,,neutral
9621372,,neutral
8837401,,neutral
15635230,,neutral
SC757465,,neutral
8182703,,neutral
7939421,,neutral
9744243,,neutral
10051920,,neutral
11650016,,neutral
844475,,neutral
10377444,,neutral
1130410,,neutral
14038010,,neutral
14922566,,neutral
6642702,,neutral
SC410294,,neutral
15357167,,neutral
8685926,,neutral
4062804,,neutral
15028600,14.30261144845135,positive
11677268,,neutral
13397556,,neutral
11671394,,neutral
15583681,,neutral
SC793936,,neutral
5856856,,neutral
7091571,,neutral
11506080,,neutral
3752471,,neutral
11505566,,neutral
14267858,,neutral
11985842,,neutral
14264091,,neutral
7425712,,neutral
15728711,,neutral
15131531,,neutral
15001174,,neutral
8714426,,neutral
11096919,,neutral
12766945,,neutral
8376930,,neutral
3830441,,neutral
10694551,,neutral
5783010,,neutral
14357971,,neutral
1850752,,neutral
12892206,,neutral
11181765,,neutral
12760043,,neutral
14399849,,neutral
13676631,,neutral
10203369,,neutral
14625532,,neutral
12575918,,neutral
13813353,,neutral
16034705,,neutral
15712168,,neutral
12443258,,neutral
11435893,,neutral
12467101,,neutral
8087593,,neutral
14411601,,neutral
9255346,12.934904564160327,positive
11666259,,neutral
10936839,,neutral
12119856,,neutral
8000324,,neutral
14997729,,neutral
6514511,,neutral
10339647,,neutral
11867259,,neutral
4573680,,neutral
11386612,,neutral
16413722,,neutral
11554660,,neutral
16172724,,neutral
15535949,,neutral
13083516,,neutral
13247200,,neutral
14747141,,neutral
1665954,,neutral
6969469,,neutral
12439271,,neutral
14501422,,neutral
9529124,,neutral
11803668,,neutral
2846821,,neutral
SC410414,,neutral
2674128,,neutral
14720665,,neutral
9756534,,neutral
14260711,,neutral
10920625,,neutral
13347425,,positive
2795649,,neutral
8112723,,neutral
6948759,,neutral
7712689,,neutral
9339424,,neutral
SC764354,,neutral
SC573443,,neutral
14530618,,neutral
SC269958,,neutral
5064279,,neutral
14088256,,neutral
12137085,,neutral
5885525,,neutral
12255878,,neutral
12336285,,neutral
12883589,,neutral
13687587,,neutral
1392963,,neutral
14751627,,neutral
5913973,,neutral
12734464,,neutral
SC742819,,neutral
13612692,,neutral
15616368,,neutral
15143444,16.164452590233758,positive
15013747,,neutral
14776035,13.006752935848645,neutral
13005167,,neutral
7557820,,neutral
9987796,,neutral
6728279,,neutral
9251040,,neutral
7490574,,neutral
1132217,20.527599002260235,positive
4380045,,neutral
13809349,,neutral
10842268,17.673816114611896,neutral
6730066,,neutral
1951977,13.94970123222397,negative
13654917,,neutral
5409594,,neutral
7396182,,neutral
6267828,,neutral
2622346,,neutral
4323931,,neutral
